OrderID,OrderNumber(New),orderDate,shipByDate,orderStatus,CustomerID(new),orderTotal,amountPaid,taxAmount_x,shippingAmount_x,serviceCode,shipDate,tagIds,shipTo.city,shipTo.state,shipTo.postalCode,Warehouse,StoreID,advancedOptions.customField1,delivery_date,quantity,unitPrice,ProductID,DeliveryDate,orderDate2
2322988911,951077,2023-08-10T10:33:07.0000000,,awaiting_shipment,913957547,0,0,0,0,fedex_standard_overnight,,"[50341, 104569, 121076]",CARY,NC,27519-7832,195123,262520,FARM DIRECT, 10-26-2023,1,0,25839168,10/26/2023,8/10/2023 13:33
2089273411,485977,2023-08-01T15:12:00.0000000,,awaiting_shipment,551908464,0,0,0,0,fedex_home_delivery,,"[50341, 104569, 120662, 121076, 122421]",EAST NORWICH,NY,11732-1331,64071,262520,3.NEW JERSEY, 09-14-2023,1,0,53102158,9/14/2023,8/1/2023 18:12
2322988811,950977,2023-08-10T10:33:00.0000000,2023-08-17T00:00:00.0000000,awaiting_shipment,913957547,0,0,0,0,fedex_standard_overnight,,"[50341, 104569, 119668, 121076]",CARY,NC,27519-7832,409057,262520,AGROCOEX, 09-14-2023,1,0,53102158,9/14/2023,8/10/2023 13:33
2244197611,809077,2023-08-07T14:17:45.0000000,,awaiting_shipment,860909461,0,0,0,0,fedex_home_delivery,,"[50341, 104569, 120662, 121076, 122421]",LAFAYETTE HL,PA,19444-1309,64071,262520,3.NEW JERSEY, 09-06-2023,1,0,53102158,9/6/2023,8/7/2023 17:17
2660285911,432878,2023-08-23T07:34:37.0000000,,awaiting_shipment,371877557,0,0,0,0,fedex_home_delivery,,"[50341, 104569, 120662, 121076, 122421]",BRADFORDWOODS,PA,15015-1305,64071,262520,3.NEW JERSEY,5/27/2024,1,0,25839168,5/27/2024,8/23/2023 10:34
2660285411,432778,2023-08-23T07:34:31.0000000,,awaiting_shipment,,0,0,0,0,fedex_home_delivery,,"[50341, 104569, 121076, 122673]",BRADFORDWOODS,PA,15015-1305,1495521,262520,3.NEW JERSEY,1/26/2024,1,0,53102158,1/26/2024,8/23/2023 10:34
2406463311,75778,2023-08-14T05:41:04.0000000,,awaiting_shipment,692682264,0,0,0,0,fedex_home_delivery,,"[50341, 104569, 120662, 121076, 122421]",THE VILLAGES,FL,32163-2827,64074,262520,4.MIAMI,1/3/2024,1,0,25839168,1/3/2024,8/14/2023 8:41
2691770711,495778,2023-08-24T10:40:30.0000000,,awaiting_shipment,271560264,0,0,0,0,fedex_home_delivery,,"[50341, 119668, 120662, 121076, 122421]",ONEONTA,NY,13820-4668,64071,262520,3.NEW JERSEY,12/15/2023,1,0,14380547,12/15/2023,8/24/2023 13:40
2813187911,641178,2023-08-28T21:06:40.0000000,2023-09-05T03:00:00.0000000,awaiting_shipment,618857539,73.49,73.49,3.5,0,fedex_home_delivery,,"[50341, 119668, 121076, 122673]",NEENAH,WI,54956-8936,1495521,262520,1.CHICAGO,12-15-2023 (Julia),1,69.99,5644846,12/15/2023,8/29/2023 0:06
2406463011,75678,2023-08-14T05:40:52.0000000,2023-08-21T00:00:00.0000000,awaiting_shipment,692682264,0,0,0,0,fedex_home_delivery,,"[50341, 104569, 119668, 120662, 121076, 122421, 122673]",THE VILLAGES,FL,32163-2827,1495521,262520,4.MIAMI,12/4/2023,1,0,53102158,12/4/2023,8/14/2023 8:40
