OrderID,OrderNo,SvcCode,ShipDate,State,ZipCode,WHId,StoreID,WHinSS,ProductID,DeliveryDate,TransitTime,SkuID,Type,Plan,Country_origen,shipping_Allocation,WHCode
2152146111,604277,fedex_standard_overnight,"Wednesday, August 9, 2023",MO,63130-3809,195123,262520,ELITE,14380547,"Monday, August 14, 2023",5,SQ9178530,Mixed,Suscription,CO,IPD,ECO
2152162711,606877,fedex_standard_overnight,"Wednesday, August 9, 2023",NE,68803-1948,195123,262520,ELITE,14380547,"Monday, August 14, 2023",5,SQ9178530,Mixed,Suscription,CO,IPD,ECO
2152165311,608277,fedex_standard_overnight,"Wednesday, August 9, 2023",OH,44512-4054,195123,262520,ELITE,14380547,"Monday, August 14, 2023",5,SQ9178530,Mixed,Suscription,CO,IPD,ECO
2152162511,608777,fedex_standard_overnight,"Wednesday, August 9, 2023",MO,63017,195123,262520,ELITE,14380547,"Monday, August 14, 2023",5,SQ9178530,Mixed,Suscription,CO,IPD,ECO
2152173811,609377,fedex_standard_overnight,"Wednesday, August 9, 2023",AZ,85658-4391,195123,262520,ELITE,14380547,"Monday, August 14, 2023",5,SQ9178530,Mixed,Suscription,CO,IPD,ECO
2152175911,610277,fedex_standard_overnight,"Wednesday, August 9, 2023",SC,29212-7913,195123,262520,ELITE,14380547,"Monday, August 14, 2023",5,SQ9178530,Mixed,Suscription,CO,IPD,ECO
2152159811,614877,fedex_standard_overnight,"Wednesday, August 9, 2023",CO,80305-6827,195123,262520,ELITE,14380547,"Monday, August 14, 2023",5,SQ9178530,Mixed,Suscription,CO,IPD,ECO
2152172111,614977,fedex_standard_overnight,"Wednesday, August 9, 2023",TN,37916-1021,195123,262520,ELITE,14380547,"Monday, August 14, 2023",5,SQ9178530,Mixed,Suscription,CO,IPD,ECO
2152152411,615877,fedex_standard_overnight,"Wednesday, August 9, 2023",OH,44255-9791,195123,262520,ELITE,14380547,"Monday, August 14, 2023",5,SQ9178530,Mixed,Suscription,CO,IPD,ECO
2152176811,615977,fedex_standard_overnight,"Wednesday, August 9, 2023",GA,30075-3162,195123,262520,ELITE,14380547,"Monday, August 14, 2023",5,SQ9178530,Mixed,Suscription,CO,IPD,ECO
2152107811,616377,fedex_standard_overnight,"Wednesday, August 9, 2023",MS,38655-6128,195123,262520,ELITE,14380547,"Monday, August 14, 2023",5,SQ9178530,Mixed,Suscription,CO,IPD,ECO
2152113411,616477,fedex_standard_overnight,"Wednesday, August 9, 2023",CO,81401-5663,195123,262520,ELITE,14380547,"Monday, August 14, 2023",5,SQ9178530,Mixed,Suscription,CO,IPD,ECO
2152114811,616577,fedex_standard_overnight,"Wednesday, August 9, 2023",SC,29566-9126,195123,262520,ELITE,14380547,"Monday, August 14, 2023",5,SQ9178530,Mixed,Suscription,CO,IPD,ECO
2152117811,617277,fedex_standard_overnight,"Wednesday, August 9, 2023",SC,29407-7602,195123,262520,ELITE,14380547,"Monday, August 14, 2023",5,SQ9178530,Mixed,Suscription,CO,IPD,ECO
2152109111,619177,fedex_standard_overnight,"Wednesday, August 9, 2023",TN,38401-4532,195123,262520,ELITE,14380547,"Monday, August 14, 2023",5,SQ9178530,Mixed,Suscription,CO,IPD,ECO
2152106511,620377,fedex_standard_overnight,"Wednesday, August 9, 2023",MN,55057-1597,195123,262520,ELITE,14380547,"Monday, August 14, 2023",5,SQ9178530,Mixed,Suscription,CO,IPD,ECO
2152100711,621077,fedex_standard_overnight,"Wednesday, August 9, 2023",GA,31831-3416,195123,262520,ELITE,14380547,"Monday, August 14, 2023",5,SQ9178530,Mixed,Suscription,CO,IPD,ECO
2152118411,621777,fedex_standard_overnight,"Wednesday, August 9, 2023",GA,30622,195123,262520,ELITE,14380547,"Monday, August 14, 2023",5,SQ9178530,Mixed,Suscription,CO,IPD,ECO
2152110411,622977,fedex_standard_overnight,"Wednesday, August 9, 2023",NE,68022-1136,195123,262520,ELITE,14380547,"Monday, August 14, 2023",5,SQ9178530,Mixed,Suscription,CO,IPD,ECO
2152120111,624177,fedex_standard_overnight,"Wednesday, August 9, 2023",NH,03307-0840,195123,262520,ELITE,14380547,"Monday, August 14, 2023",5,SQ9178530,Mixed,Suscription,CO,IPD,ECO
2152109711,624777,fedex_standard_overnight,"Wednesday, August 9, 2023",OH,44087-2732,195123,262520,ELITE,14380547,"Monday, August 14, 2023",5,SQ9178530,Mixed,Suscription,CO,IPD,ECO
2152126511,625377,fedex_standard_overnight,"Wednesday, August 9, 2023",ND,58250,195123,262520,ELITE,14380547,"Monday, August 14, 2023",5,SQ9178530,Mixed,Suscription,CO,IPD,ECO
